Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"verifyElementText(findTestObject(""Object Repository/Menu and other services/Language/android.widget.TextView - Einstellungen""), ""Einstellungen"")",,,,2023-08-17 09:48:26,2023-08-17 09:48:27,0.439s,PASSED
"verifyElementText(findTestObject(""Object Repository/Menu and other services/Language/android.widget.TextView - Ausloggen""), ""Ausloggen"")",,,,2023-08-17 09:48:27,2023-08-17 09:48:27,0.420s,PASSED
"tap(findTestObject(""Menu and other services/Language/android.widget.TextView - Einstellungen""), 30)",,,,2023-08-17 09:48:27,2023-08-17 09:48:28,0.487s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Language/android.widget.TextView - Deutsch (1)""), 30)",,,,2023-08-17 09:48:28,2023-08-17 09:48:30,1.737s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Language/android.widget.TextView - English (1)""), 30)",,,,2023-08-17 09:48:30,2023-08-17 09:48:30,0.952s,PASSED
,,,,,,,
Test Cases/Menu and other services/Help,,,,2023-08-17 09:48:30,2023-08-17 09:48:53,22.738s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Help/android.widget.ImageView - Menu""), 30)",,,,2023-08-17 09:48:31,2023-08-17 09:48:38,6.212s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Help/android.widget.TextView - Help""), 30)",,,,2023-08-17 09:48:38,2023-08-17 09:48:39,1.670s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Help/android.widget.TextView - Help Center""), 30)",,,,2023-08-17 09:48:39,2023-08-17 09:48:40,1.115s,PASSED
"verifyElementText(findTestObject(""Object Repository/Menu and other services/Help/android.widget.TextView - Support""), ""Support"")",,,,2023-08-17 09:48:40,2023-08-17 09:48:41,0.837s,PASSED
"verifyElementText(findTestObject(""Object Repository/Menu and other services/Help/android.widget.TextView - Critical Notifications""), ""Critical Notifications"")",,,,2023-08-17 09:48:41,2023-08-17 09:48:43,1.892s,PASSED
pressBack(),,,,2023-08-17 09:48:43,2023-08-17 09:48:44,0.750s,PASSED
"tap(findTestObject(""Menu and other services/Help/android.widget.TextView - Help""), 30)",,,,2023-08-17 09:48:44,2023-08-17 09:48:45,0.807s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Help/android.widget.TextView - Send device info""), 30)",,,,2023-08-17 09:48:45,2023-08-17 09:48:45,0.920s,PASSED
